Unique.ID,Target pH,Soil ID,MUB.conc,Clay.pct,soil.pH,SOC.pct,Substrate.conc,Rep,pH.t0,pH.t60
1,3,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,a,4.045,3.972
2,3,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,a,3.726,3.760
3,3,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,a,3.332,3.329
4,3,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,a,3.857,3.649
5,3,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,a,3.449,3.326
6,3,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,a,3.152,3.175
7,3,Soil 3,1x,8.7449183,5.11,1.22,10 mM,a,3.031,3.023
8,3,Soil 3,2x,8.7449183,5.11,1.22,10 mM,a,3.058,3.044
9,3,Soil 3,4x,8.7449183,5.11,1.22,10 mM,a,3.030,3.026
10,3,Soil 4,1x,61.7977678,4.41,2.03,10 mM,a,2.892,2.808
11,3,Soil 4,2x,61.7977678,4.41,2.03,10 mM,a,2.891,2.901
12,3,Soil 4,4x,61.7977678,4.41,2.03,10 mM,a,2.913,2.911
13,3,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,b,4.248,4.065
14,3,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,b,3.766,3.738
15,3,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,b,3.404,3.411
16,3,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,b,3.898,3.631
17,3,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,b,3.382,3.338
18,3,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,b,3.165,3.166
19,3,Soil 3,1x,8.7449183,5.11,1.22,10 mM,b,3.064,3.006
20,3,Soil 3,2x,8.7449183,5.11,1.22,10 mM,b,3.031,3.020
21,3,Soil 3,4x,8.7449183,5.11,1.22,10 mM,b,3.005,3.021
22,3,Soil 4,1x,61.7977678,4.41,2.03,10 mM,b,2.988,2.837
23,3,Soil 4,2x,61.7977678,4.41,2.03,10 mM,b,2.899,2.909
24,3,Soil 4,4x,61.7977678,4.41,2.03,10 mM,b,2.904,2.921
25,3,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,c,4.156,4.032
26,3,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,c,3.772,3.729
27,3,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,c,3.448,3.351
28,3,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,c,3.820,3.682
29,3,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,c,3.409,3.295
30,3,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,c,3.148,3.161
31,3,Soil 3,1x,8.7449183,5.11,1.22,10 mM,c,3.056,2.990
32,3,Soil 3,2x,8.7449183,5.11,1.22,10 mM,c,3.029,3.018
33,3,Soil 3,4x,8.7449183,5.11,1.22,10 mM,c,3.006,3.017
34,3,Soil 4,1x,61.7977678,4.41,2.03,10 mM,c,2.904,2.819
35,3,Soil 4,2x,61.7977678,4.41,2.03,10 mM,c,2.849,2.884
36,3,Soil 4,4x,61.7977678,4.41,2.03,10 mM,c,2.899,2.916
37,5,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,a,5.755,5.419
38,5,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,a,5.086,5.121
39,5,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,a,5.062,5.029
40,5,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,a,5.228,5.079
41,5,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,a,5.042,5.012
42,5,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,a,4.981,4.985
43,5,Soil 3,1x,8.7449183,5.11,1.22,10 mM,a,4.961,4.931
44,5,Soil 3,2x,8.7449183,5.11,1.22,10 mM,a,4.932,4.970
45,5,Soil 3,4x,8.7449183,5.11,1.22,10 mM,a,4.989,4.979
46,5,Soil 4,1x,61.7977678,4.41,2.03,10 mM,a,4.751,4.747
47,5,Soil 4,2x,61.7977678,4.41,2.03,10 mM,a,4.868,4.854
48,5,Soil 4,4x,61.7977678,4.41,2.03,10 mM,a,4.929,4.932
49,5,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,b,5.549,5.305
50,5,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,b,5.068,5.099
51,5,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,b,5.072,5.037
52,5,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,b,5.177,5.090
53,5,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,b,5.069,5.047
54,5,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,b,4.979,4.981
55,5,Soil 3,1x,8.7449183,5.11,1.22,10 mM,b,4.940,4.924
56,5,Soil 3,2x,8.7449183,5.11,1.22,10 mM,b,4.923,4.949
57,5,Soil 3,4x,8.7449183,5.11,1.22,10 mM,b,4.987,4.982
58,5,Soil 4,1x,61.7977678,4.41,2.03,10 mM,b,4.762,4.752
59,5,Soil 4,2x,61.7977678,4.41,2.03,10 mM,b,4.876,4.862
60,5,Soil 4,4x,61.7977678,4.41,2.03,10 mM,b,4.952,4.948
61,5,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,c,5.699,5.327
62,5,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,c,5.100,5.117
63,5,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,c,5.067,5.038
64,5,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,c,5.134,5.083
65,5,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,c,5.048,5.091
66,5,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,c,4.982,4.988
67,5,Soil 3,1x,8.7449183,5.11,1.22,10 mM,c,4.925,4.917
68,5,Soil 3,2x,8.7449183,5.11,1.22,10 mM,c,4.930,4.941
69,5,Soil 3,4x,8.7449183,5.11,1.22,10 mM,c,4.984,4.984
70,5,Soil 4,1x,61.7977678,4.41,2.03,10 mM,c,4.699,4.621
71,5,Soil 4,2x,61.7977678,4.41,2.03,10 mM,c,4.861,4.865
72,5,Soil 4,4x,61.7977678,4.41,2.03,10 mM,c,4.943,4.922
73,7,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,a,7.228,7.166
74,7,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,a,7.128,7.127
75,7,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,a,7.008,7.039
76,7,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,a,7.010,6.991
77,7,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,a,6.995,7.012
78,7,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,a,6.973,6.985
79,7,Soil 3,1x,8.7449183,5.11,1.22,10 mM,a,6.835,6.853
80,7,Soil 3,2x,8.7449183,5.11,1.22,10 mM,a,6.945,6.951
81,7,Soil 3,4x,8.7449183,5.11,1.22,10 mM,a,6.981,6.962
82,7,Soil 4,1x,61.7977678,4.41,2.03,10 mM,a,6.741,6.777
83,7,Soil 4,2x,61.7977678,4.41,2.03,10 mM,a,6.929,6.887
84,7,Soil 4,4x,61.7977678,4.41,2.03,10 mM,a,6.945,6.894
85,7,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,b,7.218,7.149
86,7,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,b,7.119,7.127
87,7,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,b,6.999,7.034
88,7,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,b,6.975,7.046
89,7,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,b,6.985,6.990
90,7,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,b,6.994,6.974
91,7,Soil 3,1x,8.7449183,5.11,1.22,10 mM,b,6.844,6.854
92,7,Soil 3,2x,8.7449183,5.11,1.22,10 mM,b,6.933,6.935
93,7,Soil 3,4x,8.7449183,5.11,1.22,10 mM,b,6.973,6.939
94,7,Soil 4,1x,61.7977678,4.41,2.03,10 mM,b,6.698,6.670
95,7,Soil 4,2x,61.7977678,4.41,2.03,10 mM,b,6.886,6.823
96,7,Soil 4,4x,61.7977678,4.41,2.03,10 mM,b,6.908,6.916
97,7,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,c,7.210,7.189
98,7,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,c,7.135,7.118
99,7,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,c,6.992,7.024
100,7,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,c,9.967,7.014
101,7,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,c,6.984,6.995
102,7,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,c,6.995,6.971
103,7,Soil 3,1x,8.7449183,5.11,1.22,10 mM,c,6.838,6.843
104,7,Soil 3,2x,8.7449183,5.11,1.22,10 mM,c,6.930,6.933
105,7,Soil 3,4x,8.7449183,5.11,1.22,10 mM,c,6.974,6.936
106,7,Soil 4,1x,61.7977678,4.41,2.03,10 mM,c,6.624,6.688
107,7,Soil 4,2x,61.7977678,4.41,2.03,10 mM,c,6.849,6.819
108,7,Soil 4,4x,61.7977678,4.41,2.03,10 mM,c,6.915,6.904
109,9,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,a,9.038,9.058
110,9,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,a,8.989,9.018
111,9,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,a,8.988,8.993
112,9,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,a,8.930,8.902
113,9,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,a,8.946,8.921
114,9,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,a,8.950,8.939
115,9,Soil 3,1x,8.7449183,5.11,1.22,10 mM,a,8.481,8.805
116,9,Soil 3,2x,8.7449183,5.11,1.22,10 mM,a,8.743,8.892
117,9,Soil 3,4x,8.7449183,5.11,1.22,10 mM,a,8.897,8.920
118,9,Soil 4,1x,61.7977678,4.41,2.03,10 mM,a,8.237,8.444
119,9,Soil 4,2x,61.7977678,4.41,2.03,10 mM,a,8.648,8.661
120,9,Soil 4,4x,61.7977678,4.41,2.03,10 mM,a,8.874,8.664
121,9,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,b,9.030,9.034
122,9,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,b,8.998,9.011
123,9,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,b,8.991,8.987
124,9,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,b,8.950,8.941
125,9,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,b,8.939,8.949
126,9,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,b,8.928,8.949
127,9,Soil 3,1x,8.7449183,5.11,1.22,10 mM,b,8.572,8.818
128,9,Soil 3,2x,8.7449183,5.11,1.22,10 mM,b,8.788,8.884
129,9,Soil 3,4x,8.7449183,5.11,1.22,10 mM,b,8.910,8.924
130,9,Soil 4,1x,61.7977678,4.41,2.03,10 mM,b,8.364,8.334
131,9,Soil 4,2x,61.7977678,4.41,2.03,10 mM,b,8.599,8.539
132,9,Soil 4,4x,61.7977678,4.41,2.03,10 mM,b,8.765,8.707
133,9,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,c,9.021,9.036
134,9,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,c,8.985,9.009
135,9,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,c,8.997,8.989
136,9,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,c,8.896,8.885
137,9,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,c,8.932,8.933
138,9,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,c,8.934,8.942
139,9,Soil 3,1x,8.7449183,5.11,1.22,10 mM,c,8.655,8.822
140,9,Soil 3,2x,8.7449183,5.11,1.22,10 mM,c,8.763,8.893
141,9,Soil 3,4x,8.7449183,5.11,1.22,10 mM,c,8.896,8.922
142,9,Soil 4,1x,61.7977678,4.41,2.03,10 mM,c,8.330,8.251
143,9,Soil 4,2x,61.7977678,4.41,2.03,10 mM,c,8.617,8.388
144,9,Soil 4,4x,61.7977678,4.41,2.03,10 mM,c,8.776,8.722
145,11,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,a,10.732,10.673
146,11,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,a,10.945,10.852
147,11,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,a,10.958,10.901
148,11,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,a,10.198,9.925
149,11,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,a,10.331,10.294
150,11,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,a,10.475,10.496
151,11,Soil 3,1x,8.7449183,5.11,1.22,10 mM,a,10.123,10.061
152,11,Soil 3,2x,8.7449183,5.11,1.22,10 mM,a,10.290,10.264
153,11,Soil 3,4x,8.7449183,5.11,1.22,10 mM,a,10.663,10.678
154,11,Soil 4,1x,61.7977678,4.41,2.03,10 mM,a,9.501,9.286
155,11,Soil 4,2x,61.7977678,4.41,2.03,10 mM,a,10.012,9.974
156,11,Soil 4,4x,61.7977678,4.41,2.03,10 mM,a,10.224,10.324
157,11,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,b,10.699,10.665
158,11,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,b,10.836,10.786
159,11,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,b,10.902,10.855
160,11,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,b,10.183,10.050
161,11,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,b,10.542,10.419
162,11,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,b,10.551,10.534
163,11,Soil 3,1x,8.7449183,5.11,1.22,10 mM,b,10.101,9.994
164,11,Soil 3,2x,8.7449183,5.11,1.22,10 mM,b,10.271,10.246
165,11,Soil 3,4x,8.7449183,5.11,1.22,10 mM,b,10.383,10.537
166,11,Soil 4,1x,61.7977678,4.41,2.03,10 mM,b,9.399,9.175
167,11,Soil 4,2x,61.7977678,4.41,2.03,10 mM,b,10.093,10.099
168,11,Soil 4,4x,61.7977678,4.41,2.03,10 mM,b,10.337,10.234
169,11,Soil 1,1x,3.9129163,8.57,0.1876,10 mM,c,10.669,10.674
170,11,Soil 1,2x,3.9129163,8.57,0.1876,10 mM,c,10.883,10.803
171,11,Soil 1,4x,3.9129163,8.57,0.1876,10 mM,c,10.885,10.835
172,11,Soil 2,1x,65.8276202,7.77,4.7128,10 mM,c,10.123,9.812
173,11,Soil 2,2x,65.8276202,7.77,4.7128,10 mM,c,10.417,10.364
174,11,Soil 2,4x,65.8276202,7.77,4.7128,10 mM,c,10.530,10.485
175,11,Soil 3,1x,8.7449183,5.11,1.22,10 mM,c,10.134,9.950
176,11,Soil 3,2x,8.7449183,5.11,1.22,10 mM,c,10.342,10.337
177,11,Soil 3,4x,8.7449183,5.11,1.22,10 mM,c,10.595,10.543
178,11,Soil 4,1x,61.7977678,4.41,2.03,10 mM,c,9.578,9.123
179,11,Soil 4,2x,61.7977678,4.41,2.03,10 mM,c,10.014,9.923
180,11,Soil 4,4x,61.7977678,4.41,2.03,10 mM,c,10.259,10.327
